	s1	s2	s3	s4	s5	s6	s7	s8	s9	s10	s11	s12	s13	s14	s15	s16	s17	s18	s19	s20	s21	s22	s23	s24	s25	s26	s27	s28	s29	s30	s31	s32	s33	s34	s35	s36
taxon_96	0	0	0	0	0	0	0	0	0	0	0	0	340	348	0	0	101	307	0	526	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
taxon_97	0	0	212	0	0	0	0	849	108	101	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	323	0	0	0	0	0	0	0	0	0
taxon_98	0	0	0	0	0	319	487	0	95	445	0	101	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
taxon_99	0	0	0	136	438	0	0	0	0	312	131	0	0	0	0	0	0	0	0	0	0	0	0	115	0	0	0	0	0	0	0	0	0	0	0	0
taxon_100	10601	0	0	0	0	0	0	0	3844	0	0	0	0	0	0	5006	0	0	0	0	33674	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
taxon_101	0	0	5540	0	6846	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10921	1855	0	0	0	0	0	0	0	0
taxon_102	0	0	0	0	0	0	0	0	0	0	0	667	0	0	0	5584	0	0	5076	0	10063	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
taxon_103	7439	0	0	0	0	0	0	0	1755	0	0	0	0	0	0	0	7646	1196	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
taxon_104	859	0	386	6130	0	0	0	0	0	0	0	0	0	6593	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
taxon_105	0	0	0	0	0	0	0	0	0	0	0	975	2665	0	7280	252	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
taxon_106	411	293	0	0	0	4600	4715	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
taxon_107	0	0	104	0	6506	259	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	555	0	0	0	0	0	0	0	0	0	0
taxon_108	0	0	0	608	0	0	0	0	0	0	0	0	2390	0	0	0	0	2128	0	0	1540	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
taxon_109	0	2193	2139	0	0	1236	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	261	0	0	0	0	0	0	0	0
taxon_110	0	0	0	275	0	913	3766	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	97	0	0	0	0	0	0	0	0	0	0
taxon_111	0	0	367	0	440	0	3282	0	0	877	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
taxon_112	1291	0	0	0	0	0	0	0	0	0	0	0	2453	0	0	0	695	0	0	299	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
